accession_number	scientific_name	common_name	building	life_form	media_count
2011-1388A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1365A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1389A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1369A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1371A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1387A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1391A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1368A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1390A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1392A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1526A	Ulmus americana	American Elm,White Elm	HMSG	Deciduous tree	3
2011-2683A	Ulmus americana	American Elm,White Elm		Deciduous tree	2
2011-2682A	Ulmus americana	American Elm,White Elm		Deciduous tree	2
2011-2669A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	2
2011-2666A	Ulmus americana	American Elm,White Elm		Deciduous tree	2
2011-2802A	Ulmus americana	American Elm,White Elm		Deciduous tree	1
2011-2686A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	2
2011-2695A	Ulmus americana	American Elm,White Elm		Deciduous tree	2
2011-3012A	Ulmus americana	American Elm,White Elm		Deciduous tree	2
2012-1481A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	NASM	Deciduous tree	2
2013-0632A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAI DC	Deciduous tree	3
2013-0631A	Ulmus americana 'Jefferson'	American Elm cultivar	NASM	Deciduous tree	3
2013-0628A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	5
2013-1590A	Ulmus davidiana var. japonica 'Morton' Accolade	Accolade Elm	NMNH	Deciduous tree	7
2013-0640A	Ulmus davidiana var. japonica 'Morton' Accolade	Accolade Elm	NMNH	Deciduous tree	9
2013-1737A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2017-0350A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0352A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0356A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
