width	height	ids_id
1333.0	2000.0	SG-2011-2674A-WIN1-HL
1333.0	1999.0	SG-2012-1402A-SUM1-HL
1333.0	2000.0	SG-2012-1402A-FAL1-HL
1334.0	2000.0	SG-2012-1402A-WIN-HL
1333.0	2000.0	SG-2012-1402A-SPR1-HL
1333.0	2000.0	SG-2012-1402A-BUD1-HL
1333.0	2000.0	SG-2012-1463A-LEF1-HL
		SG-2012-1463A-SUM1-HL
1999.0	1333.0	SG-2012-1463A-FAL1-HL
2000.0	1334.0	SG-2012-1463A-WIN1-HL
1333.0	2000.0	SG-2012-1463A-SPR1-HL
2000.0	1333.0	SG-2012-1463A-CON1-HL
2000.0	1333.0	SG-2012-1463A-LEF2-HL
2000.0	1334.0	SG-2012-1463A-LEF3-HL
1333.0	2000.0	SG-2012-1463A-BAR1-HL
2000.0	1334.0	SG-2012-1463A-LEB1-HL
		SG-2012-1463A-CON2-HL
1333.0	2000.0	SG-2012-1463A-STE1-HL
1333.0	2000.0	SG-2012-1463A-STE3-HL
1333.0	2000.0	SG-2012-1463A-STE2-HL
2000.0	1333.0	SG-2015-2173A-CON1-HL
1333.0	2000.0	SG-2015-2173A-WIN-HL
1333.0	2000.0	SG-2015-2173A-SUM1-HL
1333.0	2000.0	SG-2015-2173A-FAL1-HL
2000.0	1334.0	SG-2015-2173A-CON2-HL
1333.0	2000.0	SG-2015-2175A-SUM1-HL
1334.0	2000.0	SG-2015-2175A-FAL1-HL
		SG-2015-2175A-WIN-HL
2000.0	1333.0	SG-2017-0497A-FLO1-HL
1333.0	2000.0	SG-2017-0497A-SUM1-HL
1333.0	2000.0	SG-2017-0497A-FAL1-HL
1333.0	2000.0	SG-2017-0497A-WIN-HL
1333.0	1999.0	SG-2017-0497A-SPR1-HL-000002
		SG-2017-0497A-LEF1-HL
2000.0	1333.0	SG-2017-0497A-SNP1-HL
1333.0	2000.0	SG-2017-0497A-FRU1-HL
1334.0	2000.0	SG-2017-0497A-BAR1-HL
1334.0	2000.0	SG-2017-0497A-LEB1-HL
2000.0	1333.0	SG-2017-0497A-BUD1-HL
2000.0	1333.0	SG-2017-0497A-BUD2-HL
2000.0	1333.0	SG-2017-0497A-FLO2-HL
2000.0	1333.0	SG-2017-0497A-STE3-HL
1999.0	1333.0	SG-2017-0497A-FRU2-HL
		SG-2017-0497A-STE1-HL
2000.0	1334.0	SG-2017-0497A-STE4-HL
1333.0	2000.0	SG-2017-0497A-STE2-HL
2000.0	1334.0	SG-2015-2177A-SNP1-HL
1333.0	2000.0	SG-2015-2177A-SUM1-HL
1333.0	2000.0	SG-2015-2177A-FAL1-HL-000002
1333.0	1999.0	SG-2015-2177A-WIN-HL
1334.0	2000.0	SG-2015-2177A-SPR1-HL
1333.0	2000.0	SG-2015-2177A-BUD1-HL
2000.0	1333.0	SG-2015-2177A-FLO1-HL
2000.0	1333.0	SG-2015-2177A-FLO2-HL
1333.0	2000.0	SG-2015-2177A-FRU2-HL-000002
2000.0	1334.0	SG-2015-2177A-LEF2-HL-000002
1333.0	2000.0	SG-2015-2177A-BAR1-HL
2000.0	1333.0	SG-2015-2177A-LEF1-HL-000002
		SG-2015-2177A-LEB-HL-000002
2000.0	1333.0	SG-2015-2177A-FRU1-HL-000002
1333.0	2000.0	SG-2015-2177A-BUD-HL-000002
1333.0	2000.0	SG-2015-2177A-STE5-HL-000002
1333.0	2000.0	SG-2015-2177A-STE6-HL-000002
1333.0	2000.0	SG-2015-2177A-STE7-HL-000002
1333.0	1999.0	SG-2015-2177A-STE8-HL-000002
1334.0	2000.0	SG-2015-2177A-BAR2-HL
1333.0	2000.0	SG-2015-2172A-SUM1-HL
		SG-2015-2172A-WIN-HL
1333.0	2000.0	SG-2015-2172A-FAL1-HL
2000.0	1334.0	SG-2015-2172A-LEF2-HL
2000.0	1333.0	SG-2015-2172A-LEB1-HL
1999.0	1333.0	SG-2015-2172A-STE1-HL
2000.0	1334.0	SG-2015-2172A-LEF1-HL
2000.0	1333.0	SG-2015-2172A-STE2-HL
2000.0	1333.0	SG-2015-2172A-STE3-HL
2000.0	1334.0	SG-2015-2172A-STE4-HL
